Measurement	Well	Group	Time	OCR
4	A06	Background	15.68	0.00
4	A07	Background	15.68	0.00
4	A08	Background	15.68	0.00
4	A09	Background	15.68	0.00
4	A10	Background	15.68	0.00
4	A11	Background	15.68	0.00
4	A12	Background	15.68	0.00
4	B01	WT Control	15.68	273.02
4	B02	WT Control	15.68	502.71
4	B03	WT Control	15.68	366.01
4	B04	WT Control	15.68	487.09
4	B05	WT Control	15.68	446.11
4	B06	WT Control	15.68	569.04
4	B07	WT Control	15.68	459.52
4	B08	WT Control	15.68	453.74
4	B09	WT Control	15.68	279.42
4	B10	WT Control	15.68	254.86
4	B11	WT Control	15.68	748.37
4	B12	WT Control	15.68	286.27
4	C01	161 Control	15.68	52.36
4	C02	161 Control	15.68	23.12
4	C03	161 Control	15.68	88.55
4	C04	161 Control	15.68	61.58
4	C05	161 Control	15.68	192.34
4	C06	161 Control	15.68	84.35
4	C07	mev-1 Control	15.68	63.09
4	C08	mev-1 Control	15.68	172.24
4	C09	mev-1 Control	15.68	141.74
4	C10	mev-1 Control	15.68	133.57
4	C11	mev-1 Control	15.68	191.88
4	C12	mev-1 Control	15.68	237.11
4	D01	162 Control	15.68	143.30
4	D02	162 Control	15.68	114.91
4	D03	162 Control	15.68	30.70
4	D04	162 Control	15.68	176.48
4	D05	162 Control	15.68	210.02
4	D06	162 Control	15.68	115.16
4	D07	162 Control	15.68	298.48
4	D08	162 Control	15.68	360.26
4	D09	162 Control	15.68	467.29
4	D10	162 Control	15.68	248.54
4	D11	162 Control	15.68	577.56
4	D12	162 Control	15.68	129.75
4	E01	WT DDT	15.68	196.29
4	E02	WT DDT	15.68	143.77
4	E03	WT DDT	15.68	88.25
4	E04	WT DDT	15.68	66.32
4	E05	WT DDT	15.68	68.14
4	E06	WT DDT	15.68	271.78
4	E07	WT DDT	15.68	662.59
4	E08	WT DDT	15.68	120.02
4	E09	WT DDT	15.68	170.42
4	E10	WT DDT	15.68	66.76
4	E11	WT DDT	15.68	40.74
4	E12	WT DDT	15.68	18.73
4	F01	161 DDT	15.68	54.18
4	F02	161 DDT	15.68	26.48
4	F03	161 DDT	15.68	40.28
4	F04	161 DDT	15.68	42.97
4	F05	161 DDT	15.68	44.69
4	F06	161 DDT	15.68	15.61
4	F07	mev-1 DDT	15.68	53.22
4	F08	mev-1 DDT	15.68	15.74
4	F09	mev-1 DDT	15.68	12.57
4	F10	mev-1 DDT	15.68	41.23
4	F11	mev-1 DDT	15.68	23.66
4	F12	mev-1 DDT	15.68	20.81
4	G01	162 DDT	15.68	121.00
4	G02	162 DDT	15.68	59.02
4	G03	162 DDT	15.68	116.03
4	G04	162 DDT	15.68	32.96
4	G05	162 DDT	15.68	161.37
4	G06	162 DDT	15.68	13.01
4	G07	162 DDT	15.68	137.31
4	G08	162 DDT	15.68	279.64
4	G09	162 DDT	15.68	126.50
4	G10	162 DDT	15.68	92.38
4	G11	162 DDT	15.68	137.37
4	G12	162 DDT	15.68	93.45
4	H01	Background	15.68	0.00
4	H02	Background	15.68	0.00
4	H03	Background	15.68	0.00
4	H04	Background	15.68	0.00
4	H05	Background	15.68	0.00
4	H06	Background	15.68	0.00
4	H07	Background	15.68	0.00
4	H08	Background	15.68	0.00
4	H09	Background	15.68	0.00
4	H10	Background	15.68	0.00
4	H11	Background	15.68	0.00
4	H12	Background	15.68	0.00
5	A01	Background	20.65	0.00
5	A02	Background	20.65	0.00
5	A03	Background	20.65	0.00
5	A04	Background	20.65	0.00
5	A05	Background	20.65	0.00
5	A06	Background	20.65	0.00
5	A07	Background	20.65	0.00
5	A08	Background	20.65	0.00
5	A09	Background	20.65	0.00
5	A10	Background	20.65	0.00
5	A11	Background	20.65	0.00
5	A12	Background	20.65	0.00
5	B01	WT Control	20.65	343.55
5	B02	WT Control	20.65	439.62
5	B03	WT Control	20.65	174.86
5	B04	WT Control	20.65	312.48
5	B05	WT Control	20.65	762.30
5	B06	WT Control	20.65	386.30
5	B07	WT Control	20.65	434.24
5	B08	WT Control	20.65	490.60
5	B09	WT Control	20.65	360.35
5	B10	WT Control	20.65	302.87
5	B11	WT Control	20.65	790.20
5	B12	WT Control	20.65	493.15
5	C01	161 Control	20.65	51.23
5	C02	161 Control	20.65	24.30
5	C03	161 Control	20.65	120.72
5	C04	161 Control	20.65	87.68
5	C05	161 Control	20.65	153.43
5	C06	161 Control	20.65	69.78
5	C07	mev-1 Control	20.65	124.62
5	C08	mev-1 Control	20.65	143.47
5	C09	mev-1 Control	20.65	134.21
5	C10	mev-1 Control	20.65	134.87
5	C11	mev-1 Control	20.65	158.04
5	C12	mev-1 Control	20.65	245.81
5	D01	162 Control	20.65	388.84
5	D02	162 Control	20.65	148.33
5	D03	162 Control	20.65	75.59
5	D04	162 Control	20.65	219.20
5	D05	162 Control	20.65	145.89
5	D06	162 Control	20.65	42.30
5	D07	162 Control	20.65	196.77
5	D08	162 Control	20.65	563.82
5	D09	162 Control	20.65	362.29
5	D10	162 Control	20.65	417.76
5	D11	162 Control	20.65	744.31
5	D12	162 Control	20.65	88.69
5	E01	WT DDT	20.65	83.78
5	E02	WT DDT	20.65	193.61
5	E03	WT DDT	20.65	109.78
5	E04	WT DDT	20.65	78.39
5	E05	WT DDT	20.65	85.39
5	E06	WT DDT	20.65	219.26
5	E07	WT DDT	20.65	678.24
5	E08	WT DDT	20.65	175.23
5	E09	WT DDT	20.65	207.75
5	E10	WT DDT	20.65	105.77
5	E11	WT DDT	20.65	53.58
5	E12	WT DDT	20.65	69.59
5	F01	161 DDT	20.65	84.19
5	F02	161 DDT	20.65	17.08
5	F03	161 DDT	20.65	72.76
5	F04	161 DDT	20.65	41.95
5	F05	161 DDT	20.65	49.91
5	F06	161 DDT	20.65	36.86
5	F07	mev-1 DDT	20.65	36.47
5	F08	mev-1 DDT	20.65	39.89
5	F09	mev-1 DDT	20.65	10.66
5	F10	mev-1 DDT	20.65	43.96
5	F11	mev-1 DDT	20.65	25.03
5	F12	mev-1 DDT	20.65	10.91
5	G01	162 DDT	20.65	163.32
5	G02	162 DDT	20.65	68.99
5	G03	162 DDT	20.65	96.81
5	G04	162 DDT	20.65	51.05
5	G05	162 DDT	20.65	33.48
5	G06	162 DDT	20.65	15.75
5	G07	162 DDT	20.65	137.75
5	G08	162 DDT	20.65	222.12
5	G09	162 DDT	20.65	215.39
5	G10	162 DDT	20.65	93.17
5	G11	162 DDT	20.65	156.33
5	G12	162 DDT	20.65	45.75
5	H01	Background	20.65	0.00
5	H02	Background	20.65	0.00
5	H03	Background	20.65	0.00
5	H04	Background	20.65	0.00
5	H05	Background	20.65	0.00
5	H06	Background	20.65	0.00
5	H07	Background	20.65	0.00
5	H08	Background	20.65	0.00
5	H09	Background	20.65	0.00
5	H10	Background	20.65	0.00
5	H11	Background	20.65	0.00
5	H12	Background	20.65	0.00
6	A01	Background	25.71	0.00
6	A02	Background	25.71	0.00
6	A03	Background	25.71	0.00
6	A04	Background	25.71	0.00
6	A05	Background	25.71	0.00
6	A06	Background	25.71	0.00
6	A07	Background	25.71	0.00
6	A08	Background	25.71	0.00
6	A09	Background	25.71	0.00
6	A10	Background	25.71	0.00
6	A11	Background	25.71	0.00
6	A12	Background	25.71	0.00
6	B01	WT Control	25.71	444.04
6	B02	WT Control	25.71	491.40
6	B03	WT Control	25.71	209.85
6	B04	WT Control	25.71	608.12
6	B05	WT Control	25.71	629.48
6	B06	WT Control	25.71	586.66
6	B07	WT Control	25.71	632.95
6	B08	WT Control	25.71	518.52
6	B09	WT Control	25.71	290.90
6	B10	WT Control	25.71	133.94
6	B11	WT Control	25.71	595.78
6	B12	WT Control	25.71	459.95
6	C01	161 Control	25.71	33.75
6	C02	161 Control	25.71	21.85
